ATALANTA,Musso,Toloi,Demiral,Palomino,Hateboer,De Roon,Koopmeiners,Zappacosta,Lookman,Hojlund,Boga
BOLOGNA,Skorupski,Posch,Soumaoro,Lucumi',Kyriakopoulos,Medel,Ferguson,Orsolini,Dominguez,Soriano,Arnautovic
CREMONESE,Carnesecchi,Bianchetti,Chiriches,Vasquez,Sernicola,Benassi,Meite',Pickel,Valeri,Okereke,Dessers
EMPOLI,Vicario,Ebuehi,Ismajli,Luperto,Parisi,Haas,Marin,Bandinelli,Baldanzi,Satriano,Caputo
FIORENTINA,Terracciano,Dodo',Milenković,Igor,Biraghi,Bonaventura,Amrabat,Barak,Gonzalez N.,Cabral,Brekalo
HELLASVERONA,Montipo',Dawidowicz,Hien,Ceccherini,Faraoni,Tameze,Duda,Doig,Ngonge,Lazovic,Djuric
INTER,Onana,Skriniar,Acerbi,Bastoni,Dumfries,Barella,Brozovic,Calhanoglu,Dimarco,Martinez L.,Lukaku
JUVENTUS,Szczesny,Danilo,Bremer,Bonucci,Cuadrado,Fagioli,Locatelli,Rabiot,Kostic,Vlahovic,Di Maria
LAZIO,Provedel,Lazzari,Romagnoli,Casale,Marusic,Luis Alberto,Cataldi,Milinkovic-Savic,Felipe Anderson,Immobile,Zaccagni
LECCE,Falcone,Gendrey,Baschirotto,Umtiti,Gallo,Gonzalez J.,Hjulmand,Maleh,Strefezza,Ceesay,Di Francesco F.
MILAN,Maignan,Calabria,Kalulu,Tomori,Hernandez T.,Bennacer,Tonali,Messias,Diaz B.,Rafael Leao,Giroud
MONZA,Di Gregorio,Izzo,Mari',Caldirola,Ciurria,Rovella,Sensi,Carlos Augusto,Pessina,Caprari,Petagna
NAPOLI,Meret,Di Lorenzo,Rrahmani,Kim,Mario Rui,Zambo Anguissa,Lobotka,Zielinski,Lozano,Osimhen,Kvaratskhelia
ROMA,Rui Patricio,Mancini,Smalling,Ibanez,Celik,Cristante,Wijnaldum,Zalewski,Pellegrini Lo.,Dybala,Abraham
SALERNITANA,Ochoa,Mazzocchi,Troost-Ekong,Fazio,Bradaric,Candreva,Coulibaly L.,Bohinen,Maggiore,Piatek,Dia
SAMPDORIA,Audero,Gunter,Nuytinck,Amione,Leris,Winks,Rincon,Augello,Djuricic,Lammers,Gabbiadini
SASSUOLO,Consigli,Toljan,Erlic,Ferrari G.,Rogerio,Frattesi,Lopez M.,Berardi,Bajrami,Lauriente',Pinamonti
SPEZIA,Dragowski,Ampadu,Caldara,Nikolaou,Holm,Zurkowski,Bourabia,Bastoni,Reca,Shomurodov,Nzola
TORINO,Milinkovic-Savic V.,Djidji,Schuurs,Buongiorno,Singo,Ilic,Ricci S.,Vojvoda,Miranchuk,Vlasic,Sanabria
UDINESE,Silvestri,Rodrigo Becao,Bijol,Perez N.,Pereyra,Lovric,Walace,Arslan,Udogie,Beto,Success
